214,0101000020E6100000E83D84A746935EC0583442E499F14240,0200040,55979,Buchanan St:Jackson St,80,['80']
215,0101000020E610000079ECC26A87935EC0574277499CF14240,0200050,56523,Buchanan St:Pierce St,80,['80']
216,0101000020E610000053D21E8A5D935EC08B1BB7989FF14240,0200060,55142,Buchanan St:Polk St,80,['80']
217,0101000020E610000011E4A08499935EC0DCCD9DAA8CF14240,0200080,50622,Buchanan St:Usda Trucking,80,['80']
148,0101000020E610000083DA6FED448F5EC0FD4D2844C0E14240,0103200,57733,Santa Clara Av:Broadway,O 51A 851,"['51A', '851']"
220,0101000020E6100000F3CB608C48935EC0D2BDF33059F14240,0200200,55990,Ohlone Dr:#956,52,['52']
221,0101000020E6100000C56A9846B8935EC0202CBEFCA9F24240,0200220,52700,Pierce St:#545,L 80,['80']
224,0101000020E61000002CCB21F392935EC0684F13C7CBF14240,0200270,54376,Pierce St:Solano Av,80,['80']
225,0101000020E61000003D0565BF93935EC06CA7F79EDBF14240,0200280,55718,Pierce St:Washington Av,L 80 LC,['80']
226,0101000020E6100000D1915CFE43935EC034034B64D5F24240,0200350,52117,San Pablo Av:Brighton Av,72 72M 800,"['72', '800']"
227,0101000020E6100000C5C9FD0E45935EC068469AD3C0F24240,0200360,56422,San Pablo Av:Brighton Av,72 72M 800,"['72', '800']"
229,0101000020E6100000EDDFAB0C19935EC001D99024ADF14240,0200380,57957,San Pablo Av:Buchanan St,G 18 72 72M 800,"['18', '72', '800']"
230,0101000020E6100000609FEF5D39935EC08D60E3FA77F24240,0200390,55728,San Pablo Av:Castro St,72 72M 800,"['72', '800']"
231,0101000020E61000003F9EA74B10935EC05E52109777F14240,0200400,51166,San Pablo Av:Marin Av,G Z 72 72M 800,"['Z', '72', '800']"
232,0101000020E6100000534953F30B935EC0512E8D5F78F14240,0200410,55867,San Pablo Av:Marin Av,G Z 18 72 72M 800,"['Z', '18', '72', '800']"
233,0101000020E6100000756CA92803935EC014CFD90242F14240,0200420,55978,San Pablo Av:Monroe St,G Z 72 72M 800,"['Z', '72', '800']"
235,0101000020E61000002CD1FEAC1E935EC021E692AAEDF14240,0200450,50888,San Pablo Av:Solano Av,G 18 72 72M 72R 800,"['18', '72', '72R', '800']"
236,0101000020E610000002F5C18DEF925EC010560850F8F14240,0200590,55766,Solano Av:Cornell Av,G 18,['18']
237,0101000020E610000049E06AF8F1925EC07F5B66C7FCF14240,0200600,55730,Solano Av:Cornell Av,G 18,['18']
238,0101000020E61000005D15A8C560925EC0A33AC20E08F24240,0200610,51212,Solano Av:Curtis St,G 18,['18']
239,0101000020E610000089EFC4AC17935EC0F28414F2F7F14240,0200620,55395,Solano Av:Kains Av,G 18,['18']
240,0101000020E61000000C03965CC5925EC008FDF103FCF14240,0200630,55133,Solano Av:Masonic Av,G 18,['18']
241,0101000020E61000009983FB5CC8925EC070253B3602F24240,0200640,58977,Solano Av:Masonic Av,G 18,['18']
242,0101000020E61000002C42565C41925EC0E99898D30AF24240,0200650,56615,Solano Av:Peralta Av,G 18,['18']
243,0101000020E61000008E39741FA5925EC0F2FD1E0604F24240,0200670,51915,Solano Av:Ramona Av,G 18,['18']
244,0101000020E610000091DE26929E925EC0F47F588000F24240,0200680,56568,Solano Av:Ramona Av,G 18,['18']
